"Notes"	"County"	"County Code"	"Sex"	"Sex Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Female"	"F"	"75-84 years"	"75-84"	23	5423	424.1
	"Autauga County, AL"	"01001"	"Female"	"F"	"85+ years"	"85+"	27	1950	1384.6
	"Autauga County, AL"	"01001"	"Male"	"M"	"75-84 years"	"75-84"	13	3769	Unreliable
	"Autauga County, AL"	"01001"	"Male"	"M"	"85+ years"	"85+"	10	707	Unreliable
	"Baldwin County, AL"	"01003"	"Female"	"F"	"45-54 years"	"45-54"	14	67237	Unreliable
	"Baldwin County, AL"	"01003"	"Female"	"F"	"55-64 years"	"55-64"	13	60988	Unreliable
	"Baldwin County, AL"	"01003"	"Female"	"F"	"65-74 years"	"65-74"	37	42701	86.6
	"Baldwin County, AL"	"01003"	"Female"	"F"	"75-84 years"	"75-84"	105	25110	418.2
	"Baldwin County, AL"	"01003"	"Female"	"F"	"85+ years"	"85+"	126	9552	1319.1
	"Baldwin County, AL"	"01003"	"Male"	"M"	"45-54 years"	"45-54"	17	62767	Unreliable
	"Baldwin County, AL"	"01003"	"Male"	"M"	"55-64 years"	"55-64"	21	55408	37.9
	"Baldwin County, AL"	"01003"	"Male"	"M"	"65-74 years"	"65-74"	35	40060	87.4
	"Baldwin County, AL"	"01003"	"Male"	"M"	"75-84 years"	"75-84"	88	20857	421.9
	"Baldwin County, AL"	"01003"	"Male"	"M"	"85+ years"	"85+"	66	5317	1241.3
	"Barbour County, AL"	"01005"	"Female"	"F"	"35-44 years"	"35-44"	0	8198	Unreliable
	"Barbour County, AL"	"01005"	"Female"	"F"	"55-64 years"	"55-64"	0	8955	Unreliable
	"Barbour County, AL"	"01005"	"Female"	"F"	"75-84 years"	"75-84"	10	3837	Unreliable
	"Barbour County, AL"	"01005"	"Female"	"F"	"85+ years"	"85+"	25	1617	1546.1
	"Barbour County, AL"	"01005"	"Male"	"M"	"35-44 years"	"35-44"	0	10937	Unreliable
	"Bibb County, AL"	"01007"	"Female"	"F"	"65-74 years"	"65-74"	14	4358	Unreliable
	"Bibb County, AL"	"01007"	"Female"	"F"	"75-84 years"	"75-84"	15	2776	Unreliable
